Factor,Importance
deteriorating infrastructure,0.058824802507596294
ineffectiveDisasterPreparedness,0.05712219313461561
Siltation,0.05688022947835951
Urbanization,0.05527267935610409
TopographyDrainage,0.0549650301011684
population score,0.05432950725076007
RiverManagement,0.05390783982526818
Landslides,0.05310633731288112
InadequatePlanning,0.05095821874254281
DamsQuality,0.049342768581296256
Deforestation,0.04930279070176418
watershades,0.049027926670536515
WetlandLoss,0.047475877275499935
PoliticalFactors,0.047373402752680975
AgriculturalPractices,0.04669530663844684
Encroachments,0.04527411534652228
DrainageSystems,0.044970352278219036
monsoonIntensity,0.04417109813972488
ClimateChange,0.04355210524377115
Coastal vulnerability,0.037447418662241924
